Time,Displacement,Force
(s),(mm),(kN)
0,0,-0.0002
0.02,0.0005,0.0001
0.04,0.0031,0.0009
0.06,0.0079,0.0025
0.08,0.0115,0.0033
0.1,0.0156,0.0037
0.12,0.0208,0.0043
0.14,0.0265,0.0047
0.16,0.0322,0.0052
0.18,0.0377,0.0059
0.2,0.0428,0.0065
0.22,0.0478,0.0073
0.24,0.0528,0.0094
0.26,0.0578,0.0123
0.28,0.0629,0.0158
0.3,0.0679,0.0207
0.32,0.0729,0.0268
0.34,0.0779,0.0334
0.36,0.0829,0.0411
0.38,0.0879,0.0494
0.4,0.0929,0.0584
0.42,0.0979,0.0677
0.44,0.103,0.0774
0.46,0.108,0.0885
0.48,0.113,0.1004
0.5,0.118,0.1121
0.52,0.123,0.1254
0.54,0.1279,0.14
0.56,0.1329,0.1551
0.58,0.1379,0.1753
0.6,0.1429,0.2013
0.62,0.1479,0.2249
0.64,0.1529,0.2485
0.66,0.1579,0.2784
0.68,0.163,0.3126
0.7,0.1679,0.3525
0.72,0.1729,0.3986
0.74,0.1779,0.4477
0.76,0.1829,0.4979
0.78,0.1879,0.5493
0.8,0.1929,0.6011
0.82,0.1979,0.6526
0.84,0.2029,0.7028
0.86,0.2079,0.7522
0.88,0.2129,0.8012
0.9,0.2179,0.8494
0.92,0.2229,0.8961
0.94,0.2279,0.9419
0.96,0.2329,0.9868
0.98,0.2379,1.031
1,0.2429,1.0744
1.02,0.2479,1.117
1.04,0.2529,1.1589
1.06,0.2579,1.2
1.08,0.2629,1.2401
1.1,0.2679,1.2793
1.12,0.2729,1.3176
1.14,0.2779,1.3555
1.16,0.2829,1.3929
1.18,0.2879,1.4291
1.2,0.2929,1.4644
1.22,0.298,1.4988
1.24,0.303,1.5326
1.26,0.3079,1.5657
1.28,0.313,1.5982
1.3,0.318,1.6303
1.32,0.323,1.6614
1.34,0.328,1.6918
1.36,0.333,1.7218
1.38,0.338,1.7507
1.4,0.343,1.7785
1.42,0.348,1.805
1.44,0.353,1.8304
1.46,0.358,1.8541
1.48,0.3629,1.877
1.5,0.3679,1.8998
1.52,0.373,1.9226
1.54,0.378,1.9456
1.56,0.383,1.9688
1.58,0.388,1.9919
1.6,0.393,2.015
1.62,0.398,2.0378
1.64,0.4029,2.0607
1.66,0.408,2.0836
1.68,0.4129,2.1065
1.7,0.418,2.1293
1.72,0.423,2.1519
1.74,0.428,2.1744
1.76,0.4329,2.1971
1.78,0.4379,2.2194
1.8,0.4429,2.2418
1.82,0.448,2.2641
1.84,0.453,2.2863
1.86,0.458,2.3084
1.88,0.463,2.3306
1.9,0.468,2.3527
1.92,0.473,2.3745
1.94,0.478,2.3965
1.96,0.483,2.4182
1.98,0.488,2.4396
2,0.493,2.4614
2.02,0.498,2.483
2.04,0.503,2.5046
2.06,0.508,2.5255
2.08,0.513,2.5468
2.1,0.518,2.5677
2.12,0.523,2.5885
2.14,0.528,2.609
2.16,0.533,2.6292
2.18,0.538,2.6491
2.2,0.543,2.6689
2.22,0.548,2.6887
2.24,0.553,2.7089
2.26,0.558,2.7289
2.28,0.563,2.7492
2.3,0.568,2.7694
2.32,0.573,2.7896
2.34,0.5779,2.8096
2.36,0.583,2.8299
2.38,0.588,2.8502
2.4,0.593,2.8704
2.42,0.598,2.8904
2.44,0.603,2.9109
2.46,0.608,2.9312
2.48,0.613,2.9515
2.5,0.618,2.9719
2.52,0.623,2.9922
2.54,0.6279,3.0128
2.56,0.6329,3.0333
2.58,0.6379,3.0539
2.6,0.643,3.0745
2.62,0.648,3.0951
2.64,0.653,3.1157
2.66,0.6579,3.1362
2.68,0.663,3.1571
2.7,0.668,3.1778
2.72,0.673,3.1985
2.74,0.6779,3.2194
2.76,0.6829,3.24
2.78,0.6879,3.2608
2.8,0.693,3.2818
2.82,0.698,3.3027
2.84,0.703,3.3234
2.86,0.708,3.3442
2.88,0.713,3.3651
2.9,0.718,3.3859
2.92,0.723,3.4066
2.94,0.728,3.4275
2.96,0.733,3.4484
2.98,0.738,3.4691
3,0.743,3.49
3.02,0.748,3.5107
3.04,0.753,3.5315
3.06,0.758,3.5524
3.08,0.763,3.5731
3.1,0.768,3.5938
3.12,0.773,3.6143
3.14,0.778,3.635
3.16,0.783,3.6558
3.18,0.788,3.6764
3.2,0.7929,3.6967
3.22,0.798,3.717
3.24,0.803,3.7374
3.26,0.808,3.7579
3.28,0.813,3.7782
3.3,0.818,3.7984
3.32,0.823,3.8186
3.34,0.828,3.8389
3.36,0.833,3.859
