Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0004"
"0.0200","0.0002","-0.0003"
"0.0400","0.0016","0.0000"
"0.0600","0.0047","0.0015"
"0.0800","0.0071","0.0053"
"0.1000","0.0095","0.0097"
"0.1200","0.0128","0.0142"
"0.1400","0.0166","0.0191"
"0.1600","0.0204","0.0247"
"0.1800","0.0242","0.0306"
"0.2000","0.0277","0.0364"
"0.2200","0.0310","0.0418"
"0.2400","0.0344","0.0469"
"0.2600","0.0378","0.0511"
"0.2800","0.0411","0.0554"
"0.3000","0.0445","0.0598"
"0.3200","0.0478","0.0643"
"0.3400","0.0512","0.0688"
"0.3600","0.0545","0.0734"
"0.3800","0.0579","0.0779"
"0.4000","0.0612","0.0825"
"0.4200","0.0646","0.0867"
"0.4400","0.0679","0.0909"
"0.4600","0.0712","0.0954"
"0.4800","0.0746","0.0995"
"0.5000","0.0779","0.1033"
"0.5200","0.0812","0.1074"
"0.5400","0.0846","0.1118"
"0.5600","0.0879","0.1161"
"0.5800","0.0913","0.1204"
"0.6000","0.0946","0.1244"
"0.6200","0.0979","0.1284"
"0.6400","0.1013","0.1326"
"0.6600","0.1046","0.1369"
"0.6800","0.1079","0.1411"
"0.7000","0.1113","0.1450"
"0.7200","0.1146","0.1490"
"0.7400","0.1180","0.1532"
"0.7600","0.1213","0.1572"
"0.7800","0.1246","0.1611"
"0.8000","0.1279","0.1650"
"0.8200","0.1313","0.1691"
"0.8400","0.1346","0.1733"
"0.8600","0.1379","0.1778"
"0.8800","0.1413","0.1820"
"0.9000","0.1446","0.1858"
"0.9200","0.1479","0.1896"
"0.9400","0.1513","0.1935"
"0.9600","0.1546","0.1975"
"0.9800","0.1580","0.2017"
"1.0000","0.1613","0.2059"
"1.0200","0.1646","0.2099"
"1.0400","0.1680","0.2136"
"1.0600","0.1713","0.2175"
"1.0800","0.1746","0.2215"
"1.1000","0.1779","0.2255"
"1.1200","0.1812","0.2295"
"1.1400","0.1846","0.2338"
"1.1600","0.1879","0.2378"
"1.1800","0.1913","0.2418"
"1.2000","0.1946","0.2455"
"1.2200","0.1979","0.2493"
"1.2400","0.2013","0.2532"
"1.2600","0.2046","0.2571"
"1.2800","0.2079","0.2608"
"1.3000","0.2113","0.2645"
"1.3200","0.2146","0.2683"
"1.3400","0.2179","0.2723"
"1.3600","0.2213","0.2765"
"1.3800","0.2246","0.2804"
"1.4000","0.2279","0.2844"
"1.4200","0.2313","0.2884"
"1.4400","0.2346","0.2922"
"1.4600","0.2379","0.2957"
"1.4800","0.2413","0.2995"
"1.5000","0.2446","0.3033"
"1.5200","0.2479","0.3072"
"1.5400","0.2513","0.3107"
"1.5600","0.2546","0.3140"
"1.5800","0.2579","0.3177"
"1.6000","0.2613","0.3213"
"1.6200","0.2646","0.3253"
"1.6400","0.2679","0.3294"
"1.6600","0.2713","0.3333"
"1.6800","0.2746","0.3370"
"1.7000","0.2779","0.3407"
"1.7200","0.2813","0.3442"
"1.7400","0.2846","0.3475"
"1.7600","0.2879","0.3511"
"1.7800","0.2913","0.3549"
"1.8000","0.2946","0.3584"
"1.8200","0.2979","0.3618"
"1.8400","0.3013","0.3651"
"1.8600","0.3046","0.3688"
"1.8800","0.3079","0.3723"
"1.9000","0.3113","0.3758"
"1.9200","0.3146","0.3792"
"1.9400","0.3179","0.3827"
"1.9600","0.3213","0.3861"
"1.9800","0.3246","0.3894"
"2.0000","0.3279","0.3930"
"2.0200","0.3313","0.3967"
"2.0400","0.3346","0.4003"
"2.0600","0.3379","0.4040"
"2.0800","0.3413","0.4074"
"2.1000","0.3446","0.4109"
"2.1200","0.3480","0.4142"
"2.1400","0.3513","0.4176"
"2.1600","0.3546","0.4213"
"2.1800","0.3580","0.4250"
"2.2000","0.3613","0.4282"
"2.2200","0.3646","0.4317"
"2.2400","0.3679","0.4352"
"2.2600","0.3713","0.4386"
"2.2800","0.3746","0.4421"
"2.3000","0.3780","0.4452"
"2.3200","0.3813","0.4484"
"2.3400","0.3846","0.4519"
"2.3600","0.3880","0.4557"
"2.3800","0.3913","0.4591"
"2.4000","0.3946","0.4624"
"2.4200","0.3979","0.4658"
"2.4400","0.4013","0.4691"
"2.4600","0.4046","0.4725"
"2.4800","0.4079","0.4760"
"2.5000","0.4113","0.4796"
"2.5200","0.4146","0.4832"
"2.5400","0.4179","0.4867"
"2.5600","0.4213","0.4904"
"2.5800","0.4246","0.4939"
"2.6000","0.4279","0.4972"
"2.6200","0.4313","0.5003"
"2.6400","0.4346","0.5037"
"2.6600","0.4379","0.5071"
"2.6800","0.4413","0.5104"
"2.7000","0.4446","0.5137"
"2.7200","0.4479","0.5167"
"2.7400","0.4513","0.5196"
"2.7600","0.4546","0.5230"
"2.7800","0.4579","0.5265"
"2.8000","0.4612","0.5296"
"2.8200","0.4646","0.5328"
"2.8400","0.4679","0.5360"
"2.8600","0.4713","0.5393"
"2.8800","0.4746","0.5426"
"2.9000","0.4779","0.5459"
"2.9200","0.4813","0.5492"
"2.9400","0.4846","0.5524"
"2.9600","0.4879","0.5551"
"2.9800","0.4912","0.5583"
"3.0000","0.4946","0.5617"
"3.0200","0.4979","0.5649"
"3.0400","0.5012","0.5679"
"3.0600","0.5046","0.5710"
"3.0800","0.5079","0.5743"
"3.1000","0.5112","0.5776"
"3.1200","0.5146","0.5807"
"3.1400","0.5179","0.5836"
"3.1600","0.5213","0.5868"
"3.1800","0.5246","0.5903"
"3.2000","0.5280","0.5940"
"3.2200","0.5313","0.5972"
"3.2400","0.5346","0.6005"
"3.2600","0.5379","0.6035"
"3.2800","0.5413","0.6066"
"3.3000","0.5446","0.6099"
"3.3200","0.5479","0.6134"
"3.3400","0.5513","0.6165"
"3.3600","0.5546","0.6195"
"3.3800","0.5580","0.6223"
"3.4000","0.5613","0.6253"
"3.4200","0.5646","0.6283"
"3.4400","0.5680","0.6318"
"3.4600","0.5713","0.6350"
"3.4800","0.5746","0.6382"
"3.5000","0.5780","0.6417"
"3.5200","0.5813","0.6446"
"3.5400","0.5846","0.6477"
"3.5600","0.5880","0.6507"
"3.5800","0.5913","0.6537"
"3.6000","0.5946","0.6566"
"3.6200","0.5979","0.6598"
"3.6400","0.6013","0.6629"
"3.6600","0.6046","0.6662"
"3.6800","0.6080","0.6693"
"3.7000","0.6113","0.6724"
"3.7200","0.6146","0.6754"
"3.7400","0.6180","0.6784"
"3.7600","0.6213","0.6812"
"3.7800","0.6246","0.6845"
"3.8000","0.6279","0.6878"
"3.8200","0.6313","0.6908"
"3.8400","0.6346","0.6939"
"3.8600","0.6379","0.6969"
"3.8800","0.6413","0.7001"
"3.9000","0.6446","0.7033"
"3.9200","0.6480","0.7063"
"3.9400","0.6513","0.7091"
"3.9600","0.6546","0.7120"
"3.9800","0.6580","0.7148"
"4.0000","0.6613","0.7178"
"4.0200","0.6646","0.7208"
"4.0400","0.6679","0.7236"
"4.0600","0.6713","0.7268"
"4.0800","0.6746","0.7299"
"4.1000","0.6779","0.7330"
"4.1200","0.6813","0.7359"
"4.1400","0.6846","0.7387"
"4.1600","0.6879","0.7417"
"4.1800","0.6913","0.7449"
"4.2000","0.6946","0.7478"
"4.2200","0.6980","0.7506"
"4.2400","0.7013","0.7533"
"4.2600","0.7046","0.7559"
"4.2800","0.7079","0.7588"
"4.3000","0.7113","0.7616"
"4.3200","0.7146","0.7645"
"4.3400","0.7179","0.7673"
"4.3600","0.7213","0.7702"
"4.3800","0.7246","0.7728"
"4.4000","0.7279","0.7754"
"4.4200","0.7313","0.7781"
"4.4400","0.7346","0.7809"
"4.4600","0.7379","0.7838"
"4.4800","0.7413","0.7866"
"4.5000","0.7446","0.7894"
"4.5200","0.7479","0.7923"
"4.5400","0.7513","0.7949"
"4.5600","0.7546","0.7977"
"4.5800","0.7579","0.8004"
"4.6000","0.7613","0.8030"
"4.6200","0.7646","0.8058"
"4.6400","0.7679","0.8087"
"4.6600","0.7713","0.8114"
"4.6800","0.7746","0.8142"
"4.7000","0.7779","0.8170"
"4.7200","0.7813","0.8197"
"4.7400","0.7846","0.8225"
"4.7600","0.7879","0.8250"
"4.7800","0.7913","0.8275"
"4.8000","0.7946","0.8303"
"4.8200","0.7979","0.8330"
"4.8400","0.8013","0.8357"
"4.8600","0.8046","0.8386"
"4.8800","0.8079","0.8414"
"4.9000","0.8112","0.8442"
"4.9200","0.8146","0.8470"
"4.9400","0.8179","0.8496"
"4.9600","0.8213","0.8524"
"4.9800","0.8246","0.8552"
"5.0000","0.8279","0.8578"
"5.0200","0.8313","0.8602"
"5.0400","0.8346","0.8629"
"5.0600","0.8380","0.8655"
"5.0800","0.8413","0.8683"
"5.1000","0.8446","0.8710"
"5.1200","0.8480","0.8734"
"5.1400","0.8513","0.8759"
"5.1600","0.8546","0.8781"
"5.1800","0.8579","0.8806"
"5.2000","0.8613","0.8832"
"5.2200","0.8646","0.8856"
"5.2400","0.8679","0.8882"
"5.2600","0.8713","0.8909"
"5.2800","0.8746","0.8934"
"5.3000","0.8779","0.8961"
"5.3200","0.8813","0.8990"
"5.3400","0.8846","0.9017"
"5.3600","0.8879","0.9041"
"5.3800","0.8913","0.9067"
"5.4000","0.8946","0.9094"
"5.4200","0.8979","0.9120"
"5.4400","0.9013","0.9144"
"5.4600","0.9046","0.9168"
"5.4800","0.9079","0.9192"
"5.5000","0.9113","0.9217"
"5.5200","0.9146","0.9244"
"5.5400","0.9180","0.9270"
"5.5600","0.9213","0.9293"
"5.5800","0.9246","0.9316"
"5.6000","0.9279","0.9339"
"5.6200","0.9312","0.9364"
"5.6400","0.9346","0.9387"
"5.6600","0.9379","0.9410"
"5.6800","0.9412","0.9436"
"5.7000","0.9446","0.9464"
"5.7200","0.9479","0.9489"
"5.7400","0.9513","0.9511"
"5.7600","0.9546","0.9531"
"5.7800","0.9579","0.9553"
"5.8000","0.9613","0.9579"
"5.8200","0.9646","0.9604"
"5.8400","0.9679","0.9628"
"5.8600","0.9713","0.9652"
"5.8800","0.9746","0.9675"
"5.9000","0.9779","0.9696"
"5.9200","0.9813","0.9719"
"5.9400","0.9846","0.9744"
"5.9600","0.9879","0.9769"
"5.9800","0.9913","0.9794"
"6.0000","0.9946","0.9815"
"6.0200","0.9979","0.9838"
"6.0400","1.0013","0.9860"
"6.0600","1.0046","0.9883"
"6.0800","1.0079","0.9905"
"6.1000","1.0113","0.9930"
"6.1200","1.0146","0.9952"
"6.1400","1.0179","0.9973"
"6.1600","1.0213","0.9996"
"6.1800","1.0246","1.0021"
"6.2000","1.0279","1.0042"
"6.2200","1.0312","1.0068"
"6.2400","1.0346","1.0091"
"6.2600","1.0379","1.0114"
"6.2800","1.0413","1.0137"
"6.3000","1.0446","1.0157"
"6.3200","1.0479","1.0178"
"6.3400","1.0513","1.0200"
"6.3600","1.0546","1.0221"
"6.3800","1.0580","1.0244"
"6.4000","1.0613","1.0266"
"6.4200","1.0646","1.0286"
"6.4400","1.0680","1.0308"
"6.4600","1.0713","1.0330"
"6.4800","1.0746","1.0351"
"6.5000","1.0779","1.0371"
"6.5200","1.0812","1.0391"
"6.5400","1.0846","1.0414"
"6.5600","1.0880","1.0434"
"6.5800","1.0913","1.0455"
"6.6000","1.0946","1.0475"
"6.6200","1.0980","1.0496"
"6.6400","1.1013","1.0517"
"6.6600","1.1046","1.0542"
"6.6800","1.1080","1.0564"
"6.7000","1.1113","1.0584"
"6.7200","1.1146","1.0606"
"6.7400","1.1179","1.0627"
"6.7600","1.1213","1.0646"
"6.7800","1.1246","1.0665"
"6.8000","1.1279","1.0684"
"6.8200","1.1313","1.0706"
"6.8400","1.1346","1.0725"
"6.8600","1.1379","1.0742"
"6.8800","1.1413","1.0763"
"6.9000","1.1446","1.0782"
"6.9200","1.1479","1.0802"
"6.9400","1.1513","1.0822"
"6.9600","1.1546","1.0842"
"6.9800","1.1579","1.0864"
"7.0000","1.1613","1.0885"
"7.0200","1.1646","1.0905"
"7.0400","1.1679","1.0922"
"7.0600","1.1713","1.0941"
"7.0800","1.1746","1.0960"
"7.1000","1.1779","1.0980"
"7.1200","1.1812","1.1000"
"7.1400","1.1846","1.1019"
"7.1600","1.1879","1.1040"
"7.1800","1.1913","1.1059"
"7.2000","1.1946","1.1079"
"7.2200","1.1979","1.1100"
"7.2400","1.2013","1.1117"
"7.2600","1.2046","1.1135"
"7.2800","1.2079","1.1154"
"7.3000","1.2113","1.1177"
"7.3200","1.2146","1.1195"
"7.3400","1.2179","1.1212"
"7.3600","1.2213","1.1229"
"7.3800","1.2246","1.1247"
"7.4000","1.2280","1.1267"
"7.4200","1.2313","1.1285"
"7.4400","1.2346","1.1306"
"7.4600","1.2380","1.1322"
"7.4800","1.2413","1.1339"
"7.5000","1.2446","1.1357"
"7.5200","1.2479","1.1373"
"7.5400","1.2513","1.1389"
"7.5600","1.2546","1.1408"
"7.5800","1.2579","1.1426"
"7.6000","1.2613","1.1444"
"7.6200","1.2646","1.1462"
"7.6400","1.2679","1.1482"
"7.6600","1.2713","1.1500"
"7.6800","1.2746","1.1519"
"7.7000","1.2780","1.1536"
"7.7200","1.2813","1.1553"
"7.7400","1.2846","1.1571"
"7.7600","1.2879","1.1591"
"7.7800","1.2913","1.1610"
"7.8000","1.2946","1.1626"
"7.8200","1.2979","1.1643"
"7.8400","1.3013","1.1660"
"7.8600","1.3046","1.1678"
"7.8800","1.3079","1.1693"
"7.9000","1.3112","1.1709"
"7.9200","1.3146","1.1724"
"7.9400","1.3179","1.1740"
"7.9600","1.3213","1.1756"
"7.9800","1.3246","1.1771"
"8.0000","1.3279","1.1787"
"8.0200","1.3313","1.1803"
"8.0400","1.3346","1.1821"
"8.0600","1.3379","1.1838"
"8.0800","1.3413","1.1854"
"8.1000","1.3446","1.1869"
"8.1200","1.3479","1.1885"
"8.1400","1.3512","1.1899"
"8.1600","1.3546","1.1915"
"8.1800","1.3579","1.1932"
"8.2000","1.3612","1.1948"
"8.2200","1.3646","1.1965"
"8.2400","1.3679","1.1982"
"8.2600","1.3713","1.1998"
"8.2800","1.3746","1.2015"
"8.3000","1.3779","1.2032"
"8.3200","1.3812","1.2047"
"8.3400","1.3846","1.2061"
"8.3600","1.3879","1.2078"
"8.3800","1.3912","1.2093"
"8.4000","1.3946","1.2109"
"8.4200","1.3979","1.2125"
"8.4400","1.4012","1.2139"
"8.4600","1.4046","1.2156"
"8.4800","1.4079","1.2172"
"8.5000","1.4112","1.2185"
"8.5200","1.4146","1.2201"
"8.5400","1.4179","1.2216"
"8.5600","1.4212","1.2230"
"8.5800","1.4246","1.2245"
"8.6000","1.4279","1.2260"
"8.6200","1.4312","1.2272"
"8.6400","1.4346","1.2287"
"8.6600","1.4379","1.2302"
"8.6800","1.4412","1.2317"
"8.7000","1.4446","1.2332"
"8.7200","1.4479","1.2346"
"8.7400","1.4513","1.2363"
"8.7600","1.4546","1.2376"
"8.7800","1.4579","1.2390"
"8.8000","1.4613","1.2405"
"8.8200","1.4646","1.2419"
"8.8400","1.4679","1.2432"
"8.8600","1.4713","1.2446"
"8.8800","1.4746","1.2462"
"8.9000","1.4779","1.2478"
"8.9200","1.4813","1.2491"
"8.9400","1.4846","1.2506"
"8.9600","1.4879","1.2519"
"8.9800","1.4913","1.2535"
"9.0000","1.4946","1.2552"
"9.0200","1.4979","1.2566"
"9.0400","1.5013","1.2581"
"9.0600","1.5046","1.2594"
"9.0800","1.5080","1.2609"
"9.1000","1.5113","1.2622"
"9.1200","1.5146","1.2636"
"9.1400","1.5180","1.2650"
"9.1600","1.5213","1.2663"
"9.1800","1.5246","1.2675"
"9.2000","1.5279","1.2690"
"9.2200","1.5313","1.2705"
"9.2400","1.5346","1.2719"
"9.2600","1.5380","1.2732"
"9.2800","1.5413","1.2744"
"9.3000","1.5446","1.2756"
"9.3200","1.5480","1.2769"
"9.3400","1.5513","1.2781"
"9.3600","1.5546","1.2792"
"9.3800","1.5579","1.2805"
"9.4000","1.5613","1.2817"
"9.4200","1.5646","1.2828"
"9.4400","1.5679","1.2841"
