1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","-0.2685"
"","0.0200","0.0005","-0.3704"
"","0.0400","0.0034","0.0919"
"","0.0600","0.0083","0.3082"
"","0.0800","0.0121","0.2058"
"","0.1000","0.0163","-0.1040"
"","0.1200","0.0215","0.0065"
"","0.1400","0.0271","0.1134"
"","0.1600","0.0327","0.1319"
"","0.1800","0.0380","0.0763"
"","0.2000","0.0432","0.1128"
"","0.2200","0.0482","-0.0490"
"","0.2400","0.0532","-0.1113"
"","0.2600","0.0582","-0.1510"
"","0.2800","0.0632","0.0498"
"","0.3000","0.0683","0.0792"
"","0.3200","0.0733","0.1839"
"","0.3400","0.0783","-0.0316"
"","0.3600","0.0833","0.0882"
"","0.3800","0.0883","0.0683"
"","0.4000","0.0933","0.0338"
"","0.4200","0.0983","0.0159"
"","0.4400","0.1033","0.1373"
"","0.4600","0.1083","0.1655"
"","0.4800","0.1133","0.1467"
"","0.5000","0.1183","0.1670"
"","0.5200","0.1233","-0.0769"
"","0.5400","0.1283","-0.0454"
"","0.5600","0.1333","0.0090"
"","0.5800","0.1383","0.1310"
"","0.6000","0.1433","0.0000"
"","0.6200","0.1483","-0.1127"
"","0.6400","0.1533","-0.0897"
"","0.6600","0.1583","0.0342"
"","0.6800","0.1633","0.0276"
"","0.7000","0.1683","0.1302"
"","0.7200","0.1733","0.1110"
"","0.7400","0.1783","0.1492"
"","0.7600","0.1833","0.0714"
"","0.7800","0.1883","0.0195"
"","0.8000","0.1933","0.0179"
"","0.8200","0.1983","-0.0117"
"","0.8400","0.2033","0.0272"
"","0.8600","0.2083","-0.0183"
"","0.8800","0.2133","-0.0929"
"","0.9000","0.2183","-0.2602"
"","0.9200","0.2233","-0.3265"
"","0.9400","0.2283","-0.0481"
"","0.9600","0.2333","0.1158"
"","0.9800","0.2383","0.1289"
"","1.0000","0.2433","0.1154"
"","1.0200","0.2483","0.1500"
"","1.0400","0.2533","0.2595"
"","1.0600","0.2583","0.3051"
"","1.0800","0.2633","0.0892"
"","1.1000","0.2683","0.1276"
"","1.1200","0.2733","0.0182"
"","1.1400","0.2783","-0.0565"
"","1.1600","0.2833","0.1057"
"","1.1800","0.2883","0.1167"
"","1.2000","0.2933","0.0838"
"","1.2200","0.2983","0.1140"
"","1.2400","0.3033","0.1226"
"","1.2600","0.3083","0.1188"
"","1.2800","0.3133","0.1234"
"","1.3000","0.3183","0.0340"
"","1.3200","0.3233","0.0909"
"","1.3400","0.3283","0.0692"
"","1.3600","0.3333","0.0185"
"","1.3800","0.3383","0.1648"
"","1.4000","0.3433","0.2729"
"","1.4200","0.3483","0.1413"
"","1.4400","0.3533","-0.0517"
"","1.4600","0.3583","0.0867"
"","1.4800","0.3633","0.2063"
"","1.5000","0.3683","0.2075"
"","1.5200","0.3733","0.0443"
"","1.5400","0.3783","0.0651"
"","1.5600","0.3833","-0.1258"
"","1.5800","0.3883","-0.0815"
"","1.6000","0.3933","0.0085"
"","1.6200","0.3983","0.1079"
"","1.6400","0.4033","0.1149"
"","1.6600","0.4083","0.0909"
"","1.6800","0.4133","0.0260"
"","1.7000","0.4183","0.0262"
"","1.7200","0.4233","0.0980"
"","1.7400","0.4283","-0.0779"
"","1.7600","0.4333","-0.0427"
"","1.7800","0.4383","0.2057"
"","1.8000","0.4433","0.3075"
"","1.8200","0.4483","0.2677"
"","1.8400","0.4533","0.1820"
"","1.8600","0.4583","0.1532"
"","1.8800","0.4633","0.1909"
"","1.9000","0.4683","-0.0544"
"","1.9200","0.4733","-0.0898"
"","1.9400","0.4783","0.1312"
"","1.9600","0.4833","0.0737"
"","1.9800","0.4883","-0.1264"
"","2.0000","0.4933","-0.1747"
"","2.0200","0.4983","0.0027"
"","2.0400","0.5033","0.0187"
"","2.0600","0.5083","-0.0590"
"","2.0800","0.5133","0.1452"
"","2.1000","0.5183","0.0226"
"","2.1200","0.5233","-0.2536"
"","2.1400","0.5283","-0.3646"
"","2.1600","0.5333","-0.1605"
"","2.1800","0.5383","0.0428"
"","2.2000","0.5433","0.0826"
"","2.2200","0.5483","0.0049"
"","2.2400","0.5533","-0.1019"
"","2.2600","0.5583","0.0183"
"","2.2800","0.5633","0.1585"
"","2.3000","0.5683","0.0429"
"","2.3200","0.5733","-0.1479"
"","2.3400","0.5783","-0.0660"
"","2.3600","0.5833","0.0054"
"","2.3800","0.5883","-0.1801"
"","2.4000","0.5933","-0.2302"
"","2.4200","0.5983","-0.1453"
"","2.4400","0.6033","-0.1868"
"","2.4600","0.6083","-0.1219"
"","2.4800","0.6133","0.0153"
"","2.5000","0.6183","-0.0658"
"","2.5200","0.6233","0.1169"
"","2.5400","0.6283","0.0767"
"","2.5600","0.6333","-0.0482"
"","2.5800","0.6383","-0.0098"
"","2.6000","0.6433","0.1032"
"","2.6200","0.6483","-0.1800"
"","2.6400","0.6533","-0.3431"
"","2.6600","0.6583","-0.2539"
"","2.6800","0.6633","-0.1286"
"","2.7000","0.6683","-0.1327"
"","2.7200","0.6733","0.0704"
"","2.7400","0.6783","0.1703"
"","2.7600","0.6833","0.0459"
"","2.7800","0.6883","-0.0001"
"","2.8000","0.6933","-0.0811"
"","2.8200","0.6983","0.0033"
"","2.8400","0.7033","0.0683"
"","2.8600","0.7083","0.0059"
"","2.8800","0.7133","-0.0442"
"","2.9000","0.7183","0.0572"
"","2.9200","0.7233","0.0751"
"","2.9400","0.7283","0.0253"
"","2.9600","0.7333","0.0781"
"","2.9800","0.7383","0.0575"
"","3.0000","0.7433","0.0519"
"","3.0200","0.7483","-0.0172"
"","3.0400","0.7533","-0.0447"
"","3.0600","0.7583","0.1590"
"","3.0800","0.7633","0.1899"
"","3.1000","0.7683","0.2851"
"","3.1200","0.7733","0.1406"
"","3.1400","0.7783","-0.1894"
"","3.1600","0.7833","-0.1406"
"","3.1800","0.7882","-0.0143"
"","3.2000","0.7933","0.0031"
"","3.2200","0.7983","-0.0299"
"","3.2400","0.8033","0.0708"
"","3.2600","0.8083","-0.0618"
"","3.2800","0.8133","-0.0106"
"","3.3000","0.8183","-0.0275"
"","3.3200","0.8233","-0.1968"
"","3.3400","0.8283","-0.0264"
"","3.3600","0.8333","-0.0060"
"","3.3800","0.8383","0.0057"
"","3.4000","0.8433","-0.0465"
"","3.4200","0.8483","-0.1146"
"","3.4400","0.8533","-0.2277"
"","3.4600","0.8583","0.0107"
"","3.4800","0.8633","0.1307"
"","3.5000","0.8683","0.3173"
"","3.5200","0.8733","0.2185"
"","3.5400","0.8783","0.2727"
"","3.5600","0.8833","0.0670"
"","3.5800","0.8883","0.0385"
"","3.6000","0.8933","0.1225"
"","3.6200","0.8983","0.1692"
"","3.6400","0.9033","0.1321"
"","3.6600","0.9083","-0.0599"
"","3.6800","0.9133","-0.0431"
"","3.7000","0.9183","-0.1811"
"","3.7200","0.9233","0.0159"
"","3.7400","0.9283","0.0289"
"","3.7600","0.9333","-0.0240"
"","3.7800","0.9383","0.0723"
"","3.8000","0.9433","0.0909"
"","3.8200","0.9483","-0.0296"
"","3.8400","0.9533","-0.1131"
"","3.8600","0.9583","-0.1401"
"","3.8800","0.9633","-0.0542"
"","3.9000","0.9683","0.0274"
"","3.9200","0.9733","0.0789"
"","3.9400","0.9783","0.1515"
"","3.9600","0.9833","0.2169"
"","3.9800","0.9883","0.3742"
"","4.0000","0.9933","0.1909"
"","4.0200","0.9983","-0.0309"
"","4.0400","1.0033","0.0142"
"","4.0600","1.0083","0.0956"
"","4.0800","1.0133","0.0775"
"","4.1000","1.0183","-0.0134"
"","4.1200","1.0233","-0.0214"
"","4.1400","1.0283","0.1888"
"","4.1600","1.0333","-0.0208"
"","4.1800","1.0383","0.0014"
"","4.2000","1.0433","0.1337"
"","4.2200","1.0483","0.1362"
"","4.2400","1.0533","-0.0162"
"","4.2600","1.0583","-0.1007"
"","4.2800","1.0633","-0.1565"
"","4.3000","1.0683","-0.1700"
"","4.3200","1.0733","-0.1420"
"","4.3400","1.0783","-0.1263"
"","4.3600","1.0833","-0.0923"
"","4.3800","1.0883","0.0806"
"","4.4000","1.0933","-0.0189"
"","4.4200","1.0983","-0.0152"
"","4.4400","1.1033","-0.1186"
"","4.4600","1.1083","-0.0097"
"","4.4800","1.1133","-0.0480"
"","4.5000","1.1183","-0.0779"
"","4.5200","1.1233","-0.0638"
"","4.5400","1.1283","-0.0074"
"","4.5600","1.1333","0.0277"
"","4.5800","1.1383","0.2696"
"","4.6000","1.1433","0.1701"
"","4.6200","1.1483","0.0426"
"","4.6400","1.1533","0.1217"
"","4.6600","1.1583","0.1810"
"","4.6800","1.1633","0.0421"
"","4.7000","1.1683","0.0955"
"","4.7200","1.1733","0.1250"
"","4.7400","1.1783","0.0426"
"","4.7600","1.1833","0.0351"
"","4.7800","1.1883","0.2119"
"","4.8000","1.1933","0.2338"
"","4.8200","1.1983","0.2135"
"","4.8400","1.2033","-0.0742"
"","4.8600","1.2083","-0.0792"
"","4.8800","1.2133","-0.0599"
"","4.9000","1.2183","-0.0426"
"","4.9200","1.2233","-0.2459"
"","4.9400","1.2283","-0.2714"
"","4.9600","1.2333","-0.2153"
"","4.9800","1.2383","-0.2869"
"","5.0000","1.2433","-0.1676"
"","5.0200","1.2483","-0.2268"
"","5.0400","1.2533","-0.1274"
"","5.0600","1.2583","-0.0516"
"","5.0800","1.2633","-0.0978"
"","5.1000","1.2683","-0.0955"
"","5.1200","1.2733","-0.2135"
"","5.1400","1.2783","-0.1502"
"","5.1600","1.2833","0.0272"
"","5.1800","1.2883","0.1976"
"","5.2000","1.2933","0.0286"
"","5.2200","1.2983","0.0281"
"","5.2400","1.3033","0.1570"
"","5.2600","1.3083","0.0812"
"","5.2800","1.3133","0.0033"
