Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0009"
"0.0200","0.0005","0.0009"
"0.0400","0.0035","0.0011"
"0.0600","0.0081","0.0016"
"0.0800","0.0116","0.0028"
"0.1000","0.0159","0.0037"
"0.1200","0.0213","0.0048"
"0.1400","0.0271","0.0061"
"0.1600","0.0328","0.0075"
"0.1800","0.0382","0.0092"
"0.2000","0.0433","0.0106"
"0.2200","0.0483","0.0120"
"0.2400","0.0534","0.0131"
"0.2600","0.0584","0.0143"
"0.2800","0.0634","0.0153"
"0.3000","0.0685","0.0163"
"0.3200","0.0735","0.0172"
"0.3400","0.0785","0.0181"
"0.3600","0.0835","0.0192"
"0.3800","0.0885","0.0202"
"0.4000","0.0935","0.0208"
"0.4200","0.0985","0.0209"
"0.4400","0.1035","0.0212"
"0.4600","0.1085","0.0229"
"0.4800","0.1135","0.0249"
"0.5000","0.1185","0.0263"
"0.5200","0.1235","0.0272"
"0.5400","0.1285","0.0279"
"0.5600","0.1335","0.0286"
"0.5800","0.1385","0.0290"
"0.6000","0.1435","0.0294"
"0.6200","0.1485","0.0299"
"0.6400","0.1535","0.0299"
"0.6600","0.1585","0.0295"
"0.6800","0.1635","0.0291"
"0.7000","0.1685","0.0291"
"0.7200","0.1735","0.0294"
"0.7400","0.1785","0.0297"
"0.7600","0.1835","0.0299"
"0.7800","0.1885","0.0300"
"0.8000","0.1935","0.0301"
"0.8200","0.1985","0.0301"
"0.8400","0.2035","0.0300"
"0.8600","0.2085","0.0300"
"0.8800","0.2135","0.0304"
"0.9000","0.2185","0.0307"
"0.9200","0.2234","0.0310"
"0.9400","0.2285","0.0311"
"0.9600","0.2335","0.0310"
"0.9800","0.2385","0.0310"
"1.0000","0.2435","0.0310"
"1.0200","0.2485","0.0312"
"1.0400","0.2535","0.0314"
"1.0600","0.2585","0.0313"
"1.0800","0.2635","0.0314"
"1.1000","0.2685","0.0314"
"1.1200","0.2735","0.0313"
"1.1400","0.2785","0.0314"
"1.1600","0.2835","0.0315"
"1.1800","0.2885","0.0313"
"1.2000","0.2935","0.0312"
"1.2200","0.2985","0.0314"
"1.2400","0.3035","0.0314"
"1.2600","0.3085","0.0315"
"1.2800","0.3135","0.0316"
"1.3000","0.3185","0.0315"
"1.3200","0.3235","0.0318"
"1.3400","0.3285","0.0320"
"1.3600","0.3335","0.0317"
"1.3800","0.3385","0.0316"
"1.4000","0.3435","0.0317"
"1.4200","0.3485","0.0321"
"1.4400","0.3535","0.0323"
"1.4600","0.3585","0.0327"
"1.4800","0.3635","0.0328"
"1.5000","0.3685","0.0328"
"1.5200","0.3735","0.0329"
"1.5400","0.3785","0.0330"
"1.5600","0.3835","0.0332"
"1.5800","0.3885","0.0336"
"1.6000","0.3935","0.0337"
"1.6200","0.3985","0.0342"
"1.6400","0.4035","0.0347"
"1.6600","0.4085","0.0350"
"1.6800","0.4135","0.0357"
"1.7000","0.4185","0.0366"
"1.7200","0.4235","0.0370"
"1.7400","0.4285","0.0378"
"1.7600","0.4335","0.0387"
"1.7800","0.4385","0.0398"
"1.8000","0.4435","0.0408"
"1.8200","0.4485","0.0419"
"1.8400","0.4535","0.0426"
"1.8600","0.4585","0.0433"
"1.8800","0.4635","0.0442"
"1.9000","0.4685","0.0454"
"1.9200","0.4735","0.0464"
"1.9400","0.4785","0.0474"
"1.9600","0.4835","0.0483"
"1.9800","0.4885","0.0492"
"2.0000","0.4935","0.0505"
"2.0200","0.4985","0.0518"
"2.0400","0.5035","0.0532"
"2.0600","0.5085","0.0544"
"2.0800","0.5135","0.0553"
"2.1000","0.5186","0.0564"
"2.1200","0.5236","0.0576"
"2.1400","0.5285","0.0589"
"2.1600","0.5335","0.0603"
"2.1800","0.5385","0.0617"
"2.2000","0.5435","0.0629"
"2.2200","0.5485","0.0639"
"2.2400","0.5535","0.0651"
"2.2600","0.5585","0.0662"
"2.2800","0.5635","0.0671"
"2.3000","0.5685","0.0683"
"2.3200","0.5735","0.0695"
"2.3400","0.5785","0.0708"
"2.3600","0.5835","0.0722"
"2.3800","0.5885","0.0735"
