Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"0.0200","0.0005","-0.0003"
"0.0400","0.0032","0.0011"
"0.0600","0.0081","0.0034"
"0.0800","0.0117","0.0044"
"0.1000","0.0158","0.0048"
"0.1200","0.0209","0.0057"
"0.1400","0.0266","0.0072"
"0.1600","0.0323","0.0093"
"0.1800","0.0377","0.0139"
"0.2000","0.0429","0.0216"
"0.2200","0.0480","0.0285"
"0.2400","0.0530","0.0333"
"0.2600","0.0580","0.0376"
"0.2800","0.0630","0.0426"
"0.3000","0.0681","0.0483"
"0.3200","0.0731","0.0561"
"0.3400","0.0781","0.0670"
"0.3600","0.0831","0.0809"
"0.3800","0.0881","0.0960"
"0.4000","0.0931","0.1130"
"0.4200","0.0982","0.1320"
"0.4400","0.1032","0.1520"
"0.4600","0.1082","0.1744"
"0.4800","0.1132","0.1973"
"0.5000","0.1181","0.2211"
"0.5200","0.1231","0.2455"
"0.5400","0.1281","0.2719"
"0.5600","0.1331","0.3015"
"0.5800","0.1381","0.3337"
"0.6000","0.1431","0.3678"
"0.6200","0.1481","0.4028"
"0.6400","0.1531","0.4402"
"0.6600","0.1581","0.4820"
"0.6800","0.1631","0.5300"
"0.7000","0.1681","0.5881"
"0.7200","0.1731","0.6516"
"0.7400","0.1781","0.7128"
"0.7600","0.1831","0.7750"
"0.7800","0.1881","0.8403"
"0.8000","0.1931","0.9092"
"0.8200","0.1981","0.9790"
"0.8400","0.2031","1.0476"
"0.8600","0.2081","1.1145"
"0.8800","0.2131","1.1791"
"0.9000","0.2181","1.2413"
"0.9200","0.2231","1.3005"
"0.9400","0.2281","1.3578"
"0.9600","0.2331","1.4140"
"0.9800","0.2381","1.4685"
"1.0000","0.2431","1.5207"
"1.0200","0.2481","1.5710"
"1.0400","0.2531","1.6201"
"1.0600","0.2581","1.6681"
"1.0800","0.2631","1.7143"
"1.1000","0.2681","1.7597"
"1.1200","0.2731","1.8042"
"1.1400","0.2781","1.8478"
"1.1600","0.2831","1.8905"
"1.1800","0.2881","1.9311"
"1.2000","0.2931","1.9699"
"1.2200","0.2981","2.0080"
"1.2400","0.3031","2.0453"
"1.2600","0.3081","2.0823"
"1.2800","0.3131","2.1195"
"1.3000","0.3181","2.1566"
"1.3200","0.3231","2.1941"
"1.3400","0.3281","2.2313"
"1.3600","0.3331","2.2682"
"1.3800","0.3381","2.3044"
"1.4000","0.3431","2.3401"
"1.4200","0.3481","2.3759"
"1.4400","0.3531","2.4116"
"1.4600","0.3581","2.4475"
"1.4800","0.3631","2.4833"
"1.5000","0.3681","2.5191"
