Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0005"
"0.0200","0.0003","-0.0004"
"0.0400","0.0017","0.0000"
"0.0600","0.0048","0.0007"
"0.0800","0.0071","0.0021"
"0.1000","0.0096","0.0037"
"0.1200","0.0129","0.0054"
"0.1400","0.0168","0.0073"
"0.1600","0.0207","0.0094"
"0.1800","0.0245","0.0114"
"0.2000","0.0280","0.0135"
"0.2200","0.0313","0.0156"
"0.2400","0.0347","0.0177"
"0.2600","0.0380","0.0199"
"0.2800","0.0414","0.0216"
"0.3000","0.0447","0.0234"
"0.3200","0.0481","0.0254"
"0.3400","0.0514","0.0271"
"0.3600","0.0548","0.0285"
"0.3800","0.0581","0.0301"
"0.4000","0.0614","0.0321"
"0.4200","0.0648","0.0341"
"0.4400","0.0681","0.0359"
"0.4600","0.0714","0.0377"
"0.4800","0.0748","0.0395"
"0.5000","0.0781","0.0415"
"0.5200","0.0814","0.0435"
"0.5400","0.0848","0.0456"
"0.5600","0.0881","0.0477"
"0.5800","0.0914","0.0494"
"0.6000","0.0948","0.0510"
"0.6200","0.0981","0.0528"
"0.6400","0.1014","0.0548"
"0.6600","0.1048","0.0567"
"0.6800","0.1081","0.0585"
"0.7000","0.1114","0.0603"
"0.7200","0.1148","0.0624"
"0.7400","0.1181","0.0644"
"0.7600","0.1214","0.0664"
"0.7800","0.1248","0.0685"
"0.8000","0.1281","0.0705"
"0.8200","0.1314","0.0725"
"0.8400","0.1348","0.0745"
"0.8600","0.1381","0.0766"
"0.8800","0.1414","0.0787"
"0.9000","0.1447","0.0804"
"0.9200","0.1481","0.0824"
"0.9400","0.1514","0.0847"
"0.9600","0.1548","0.0868"
"0.9800","0.1581","0.0888"
"1.0000","0.1614","0.0906"
"1.0200","0.1648","0.0925"
"1.0400","0.1681","0.0947"
"1.0600","0.1714","0.0968"
"1.0800","0.1748","0.0987"
"1.1000","0.1781","0.1008"
"1.1200","0.1814","0.1028"
"1.1400","0.1848","0.1051"
"1.1600","0.1881","0.1071"
"1.1800","0.1914","0.1092"
"1.2000","0.1948","0.1115"
"1.2200","0.1981","0.1136"
"1.2400","0.2014","0.1156"
"1.2600","0.2048","0.1175"
"1.2800","0.2081","0.1197"
"1.3000","0.2114","0.1219"
"1.3200","0.2148","0.1239"
"1.3400","0.2181","0.1260"
"1.3600","0.2215","0.1283"
"1.3800","0.2248","0.1305"
"1.4000","0.2281","0.1333"
"1.4200","0.2314","0.1361"
"1.4400","0.2348","0.1391"
"1.4600","0.2381","0.1419"
"1.4800","0.2414","0.1444"
"1.5000","0.2448","0.1471"
"1.5200","0.2481","0.1500"
"1.5400","0.2515","0.1530"
"1.5600","0.2548","0.1557"
"1.5800","0.2581","0.1581"
"1.6000","0.2614","0.1605"
"1.6200","0.2648","0.1632"
"1.6400","0.2681","0.1663"
"1.6600","0.2714","0.1689"
"1.6800","0.2748","0.1718"
"1.7000","0.2781","0.1745"
"1.7200","0.2814","0.1769"
"1.7400","0.2848","0.1795"
"1.7600","0.2881","0.1820"
"1.7800","0.2914","0.1845"
"1.8000","0.2948","0.1867"
"1.8200","0.2981","0.1892"
"1.8400","0.3014","0.1915"
"1.8600","0.3048","0.1939"
"1.8800","0.3081","0.1961"
"1.9000","0.3114","0.1985"
"1.9200","0.3148","0.2008"
"1.9400","0.3181","0.2030"
"1.9600","0.3215","0.2052"
"1.9800","0.3248","0.2073"
"2.0000","0.3281","0.2093"
"2.0200","0.3315","0.2114"
"2.0400","0.3348","0.2135"
"2.0600","0.3381","0.2156"
"2.0800","0.3415","0.2177"
"2.1000","0.3448","0.2198"
"2.1200","0.3481","0.2221"
"2.1400","0.3515","0.2241"
"2.1600","0.3548","0.2259"
"2.1800","0.3581","0.2280"
"2.2000","0.3615","0.2297"
"2.2200","0.3648","0.2317"
"2.2400","0.3681","0.2339"
"2.2600","0.3714","0.2357"
"2.2800","0.3748","0.2377"
"2.3000","0.3781","0.2396"
"2.3200","0.3815","0.2416"
"2.3400","0.3848","0.2433"
"2.3600","0.3881","0.2452"
"2.3800","0.3915","0.2472"
"2.4000","0.3948","0.2491"
"2.4200","0.3982","0.2509"
"2.4400","0.4015","0.2529"
"2.4600","0.4048","0.2548"
"2.4800","0.4081","0.2567"
"2.5000","0.4114","0.2584"
"2.5200","0.4148","0.2603"
"2.5400","0.4181","0.2624"
"2.5600","0.4214","0.2645"
