Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0005"
"0.0200","0.0010","-0.0007"
"0.0400","0.0072","-0.0004"
"0.0600","0.0171","-0.0003"
"0.0800","0.0256","-0.0002"
"0.1000","0.0347","-0.0001"
"0.1200","0.0449","-0.0001"
"0.1400","0.0557","0.0002"
"0.1600","0.0664","0.0005"
"0.1800","0.0768","0.0004"
"0.2000","0.0869","0.0003"
"0.2200","0.0970","0.0006"
"0.2400","0.1070","0.0008"
"0.2600","0.1171","0.0009"
"0.2800","0.1271","0.0010"
"0.3000","0.1371","0.0009"
"0.3200","0.1471","0.0009"
"0.3400","0.1571","0.0010"
"0.3600","0.1671","0.0015"
"0.3800","0.1771","0.0015"
"0.4000","0.1871","0.0014"
"0.4200","0.1971","0.0015"
"0.4400","0.2071","0.0015"
"0.4600","0.2171","0.0016"
"0.4800","0.2271","0.0016"
"0.5000","0.2371","0.0017"
"0.5200","0.2471","0.0019"
"0.5400","0.2571","0.0019"
"0.5600","0.2672","0.0020"
"0.5800","0.2772","0.0019"
"0.6000","0.2872","0.0020"
"0.6200","0.2972","0.0022"
"0.6400","0.3072","0.0023"
"0.6600","0.3171","0.0026"
"0.6800","0.3272","0.0027"
"0.7000","0.3372","0.0024"
"0.7200","0.3472","0.0025"
"0.7400","0.3571","0.0028"
"0.7600","0.3671","0.0028"
"0.7800","0.3771","0.0029"
"0.8000","0.3871","0.0028"
"0.8200","0.3971","0.0029"
"0.8400","0.4071","0.0029"
"0.8600","0.4171","0.0031"
"0.8800","0.4271","0.0032"
"0.9000","0.4371","0.0034"
"0.9200","0.4471","0.0034"
"0.9400","0.4571","0.0034"
"0.9600","0.4671","0.0033"
"0.9800","0.4771","0.0035"
"1.0000","0.4871","0.0036"
"1.0200","0.4971","0.0037"
"1.0400","0.5071","0.0036"
"1.0600","0.5171","0.0037"
"1.0800","0.5271","0.0039"
"1.1000","0.5371","0.0040"
"1.1200","0.5471","0.0042"
"1.1400","0.5571","0.0040"
"1.1600","0.5672","0.0040"
"1.1800","0.5772","0.0042"
"1.2000","0.5871","0.0042"
"1.2200","0.5971","0.0043"
"1.2400","0.6071","0.0045"
"1.2600","0.6171","0.0046"
"1.2800","0.6271","0.0044"
"1.3000","0.6371","0.0046"
"1.3200","0.6471","0.0049"
"1.3400","0.6571","0.0049"
"1.3600","0.6671","0.0051"
"1.3800","0.6771","0.0052"
"1.4000","0.6872","0.0051"
"1.4200","0.6971","0.0051"
"1.4400","0.7071","0.0052"
"1.4600","0.7171","0.0053"
"1.4800","0.7272","0.0056"
"1.5000","0.7372","0.0056"
"1.5200","0.7472","0.0053"
"1.5400","0.7572","0.0053"
"1.5600","0.7672","0.0054"
"1.5800","0.7772","0.0057"
"1.6000","0.7872","0.0056"
"1.6200","0.7971","0.0056"
"1.6400","0.8071","0.0057"
"1.6600","0.8171","0.0059"
"1.6800","0.8271","0.0062"
"1.7000","0.8371","0.0062"
"1.7200","0.8471","0.0062"
"1.7400","0.8571","0.0062"
"1.7600","0.8671","0.0064"
"1.7800","0.8771","0.0066"
"1.8000","0.8871","0.0066"
"1.8200","0.8971","0.0066"
"1.8400","0.9071","0.0065"
"1.8600","0.9171","0.0064"
"1.8800","0.9271","0.0067"
"1.9000","0.9371","0.0068"
"1.9200","0.9472","0.0067"
"1.9400","0.9571","0.0067"
"1.9600","0.9671","0.0070"
"1.9800","0.9771","0.0071"
"2.0000","0.9871","0.0072"
"2.0200","0.9971","0.0071"
"2.0400","1.0071","0.0073"
"2.0600","1.0171","0.0077"
"2.0800","1.0271","0.0076"
"2.1000","1.0371","0.0074"
"2.1200","1.0471","0.0076"
"2.1400","1.0571","0.0080"
"2.1600","1.0671","0.0079"
"2.1800","1.0771","0.0079"
"2.2000","1.0872","0.0078"
"2.2200","1.0972","0.0079"
"2.2400","1.1071","0.0082"
"2.2600","1.1171","0.0083"
"2.2800","1.1272","0.0084"
"2.3000","1.1372","0.0083"
"2.3200","1.1472","0.0081"
"2.3400","1.1571","0.0081"
"2.3600","1.1671","0.0084"
"2.3800","1.1772","0.0086"
"2.4000","1.1872","0.0085"
"2.4200","1.1972","0.0085"
"2.4400","1.2072","0.0089"
"2.4600","1.2172","0.0089"
"2.4800","1.2271","0.0089"
"2.5000","1.2371","0.0091"
"2.5200","1.2471","0.0092"
"2.5400","1.2571","0.0093"
